PDBID,RMSD,value,message,success,nit,nfev,num_MixOfGauss,num_atoms,num_rotbonds
6HN0,3.64404,-52.24754010120638,Optimization terminated successfully.,True,112,18424,269,19,4
6HN8,13.6712,-53.187077133233885,Optimization terminated successfully.,True,230,36810,492,31,5
6HNC,7.58533,-68.86148803443908,Optimization terminated successfully.,True,63,10256,333,17,1
6I1G,6.40063,-66.1713275876032,Maximum number of iterations has been exceeded.,False,500,78057,477,36,11
6I1I,4.09752,-42.511765097084144,Maximum number of iterations has been exceeded.,False,500,77913,455,36,11
6I35,9.44789,-0.05376402640482424,Maximum number of iterations has been exceeded.,False,500,78940,102,20,7
6IPW,13.2718,-7.512359075269271,Optimization terminated successfully.,True,110,17457,239,20,2
6ISJ,7.52365,-77.7908659488647,Optimization terminated successfully.,True,156,24841,314,25,3
6J0G,6.18662,-38.976861710603345,Optimization terminated successfully.,True,327,51844,228,15,6
6JFC,4.54029,-36.87285808988614,Maximum number of iterations has been exceeded.,False,500,82260,324,27,14
6JWA,0.794284,-58.55648965633739,Optimization terminated successfully.,True,81,13112,230,20,2
6JXT,7.58685,-35.82480213831747,Maximum number of iterations has been exceeded.,False,500,79573,461,37,6
6K0E,5.23241,-43.53241959810461,Optimization terminated successfully.,True,73,11972,337,21,1
6K3L,6.93042,-71.21714463105255,Optimization terminated successfully.,True,130,21063,298,25,3
6KAZ,12.3988,-67.13681385547088,Maximum number of iterations has been exceeded.,False,500,76872,508,36,13
6KB4,6.47785,-63.312093637386916,Maximum number of iterations has been exceeded.,False,500,78972,510,36,13
6KB9,7.68513,-80.23942312061264,Maximum number of iterations has been exceeded.,False,500,78772,544,36,13
6L1Z,4.7514,-23.190816048192406,Optimization terminated successfully.,True,96,15152,288,22,0
6L23,0.551024,-40.524545871924396,Optimization terminated successfully.,True,54,8726,288,22,0
6L70,6.18127,-67.06547434227694,Maximum number of iterations has been exceeded.,False,500,76852,397,29,13
6LD8,3.4403,-70.31167920710513,Optimization terminated successfully.,True,322,51766,380,21,6
6LDC,7.08885,-42.65870740254708,Maximum number of iterations has been exceeded.,False,500,76238,274,20,9
6LE8,7.91397,-68.54046306065106,Optimization terminated successfully.,True,120,20657,388,32,6
6LO0,6.79414,-65.8636056787981,Maximum number of iterations has been exceeded.,False,500,77632,467,29,13
6LR9,5.4916,-92.21349194326957,Optimization terminated successfully.,True,334,51905,415,31,8
6LRM,4.56475,-68.17646684559442,Optimization terminated successfully.,True,289,45800,447,27,7
6LS4,7.69786,-113.01414439616187,Optimization terminated successfully.,True,416,64998,527,30,8
6LSN,3.52144,-59.27477210883676,Optimization terminated successfully.,True,174,27574,513,31,5
6LSZ,5.01664,-59.33150105475756,Optimization terminated successfully.,True,104,16149,414,27,2
6LTI,2.70441,-88.70201394245639,Optimization terminated successfully.,True,198,32116,473,34,8
6LTK,1.90966,-94.45445263437905,Optimization terminated successfully.,True,182,28806,438,33,5
6LUD,6.23105,-46.947482762448374,Maximum number of iterations has been exceeded.,False,500,79534,508,37,6
6LXA,7.52371,-90.69587343091459,Optimization terminated successfully.,True,418,65028,393,22,13
6LXB,6.74791,-65.29175678032067,Maximum number of iterations has been exceeded.,False,500,77355,515,31,11
6LXC,6.23626,-53.1993027086142,Maximum number of iterations has been exceeded.,False,500,78579,445,31,11
6LZB,2.66814,-61.47037531901537,Optimization terminated successfully.,True,262,40910,333,22,5
6LZC,2.73424,-81.20772982118893,Optimization terminated successfully.,True,244,37674,258,20,4
6LZL,0.863087,-57.20944412534468,Optimization terminated successfully.,True,255,38983,269,21,4
6M2B,9.21634,-45.570569776680465,Optimization terminated successfully.,True,182,28662,328,25,5
6M2N,2.89373,-38.17284851642367,Optimization terminated successfully.,True,87,14304,253,20,1
6MAX,3.42122,-60.33515970988978,Optimization terminated successfully.,True,44,7338,225,19,0
6MD1,6.35546,-72.94966446631202,Optimization terminated successfully.,True,227,35168,318,18,4
6MD2,5.08752,-71.25611435509106,Optimization terminated successfully.,True,181,28807,305,18,4
6MJW,6.32645,-67.8783746320533,Optimization terminated successfully.,True,181,28786,316,26,3
6MLS,5.81371,-55.31716193928489,Optimization terminated successfully.,True,223,36335,341,21,6
6MME,5.84626,-70.40370263793321,Optimization terminated successfully.,True,181,29614,389,21,6
6MN8,2.61527,-72.38403979409601,Optimization terminated successfully.,True,408,62219,360,24,4
6MNE,2.41698,-43.584066434529106,Optimization terminated successfully.,True,78,12214,245,20,0
6MO3,6.29362,-61.1839387842485,Optimization terminated successfully.,True,156,25324,362,21,6
6MPD,5.58735,-53.328664195874055,Optimization terminated successfully.,True,291,46254,334,21,6
6MQQ,5.37393,-49.75225888349602,Optimization terminated successfully.,True,225,35958,376,21,6
6MS8,3.18457,-82.8413844448087,Optimization terminated successfully.,True,65,10612,373,20,1
6MWL,1.58055,-55.17250434683656,Maximum number of iterations has been exceeded.,False,500,78988,260,20,6
6MX8,6.93475,-43.997529597111814,Optimization terminated successfully.,True,369,57796,573,40,5
6MZQ,1.57762,-77.48417540499602,Optimization terminated successfully.,True,156,24430,329,31,5
6N5H,7.40025,-55.394871285176706,Optimization terminated successfully.,True,421,66406,454,30,7
6NBA,3.45004,-77.94124282702079,Optimization terminated successfully.,True,251,40166,361,21,7
6NBE,2.91276,-52.37870765106869,Optimization terminated successfully.,True,78,12790,353,27,1
6NBW,3.31091,-55.895144716858084,Optimization terminated successfully.,True,89,14316,459,27,1
6NIM,2.12453,-50.63055936023953,Optimization terminated successfully.,True,183,28977,376,28,6
6NNH,1.28216,-56.37986989406549,Optimization terminated successfully.,True,64,10762,244,17,1
6NUJ,5.05265,-42.81139530562731,Optimization terminated successfully.,True,125,20064,496,33,5
6NV8,6.41375,-65.0490836215183,Optimization terminated successfully.,True,189,29913,358,21,6
6NWK,2.86656,-63.8658427846386,Optimization terminated successfully.,True,50,8661,399,28,2
6O1H,7.23917,-103.9920264157133,Optimization terminated successfully.,True,76,13493,373,22,8
6O8I,9.15327,-0.17750139996149383,Maximum number of iterations has been exceeded.,False,500,77406,114,27,5
6OIM,3.28435,-83.36821985831588,Optimization terminated successfully.,True,208,33267,552,41,6
6OTK,3.04919,-46.180962547905025,Optimization terminated successfully.,True,327,51487,302,20,8
6OTM,6.12237,-75.14647668638588,Optimization terminated successfully.,True,472,74782,354,23,7
6OTO,6.03211,-58.96902487901448,Optimization terminated successfully.,True,191,30810,314,22,6
6OTP,5.44135,-92.69877104823728,Optimization terminated successfully.,True,372,58482,410,23,7
6OTQ,2.4217,-45.21593426350642,Optimization terminated successfully.,True,361,56348,243,20,8
6OXO,8.85402,-76.92772839454238,Maximum number of iterations has been exceeded.,False,500,81546,430,39,14
6OXP,6.79962,-73.1392623526691,Maximum number of iterations has been exceeded.,False,500,86390,566,40,15
6OXQ,7.79411,-78.33396750327144,Maximum number of iterations has been exceeded.,False,500,79086,548,41,16
6OXX,7.78877,-72.25942619318177,Maximum number of iterations has been exceeded.,False,500,86258,486,41,15
6OXZ,8.78618,-81.58205781342822,Maximum number of iterations has been exceeded.,False,500,79431,440,42,16
6P10,3.69454,-39.60580185738955,Optimization terminated successfully.,True,276,43126,287,27,5
6P11,3.50158,-47.97776885633984,Optimization terminated successfully.,True,228,35782,317,27,5
6P5S,5.99041,-88.70428290104113,Optimization terminated successfully.,True,89,14570,361,25,3
6P9B,6.4477,-48.640342140517205,Maximum number of iterations has been exceeded.,False,500,77072,380,35,13
6PGN,7.32453,-51.45348882515557,Maximum number of iterations has been exceeded.,False,500,78774,326,19,8
6PNZ,12.0853,-5.608447508894049,Optimization terminated successfully.,True,492,77636,239,16,7
6PTX,4.83998,-87.28426220321981,Optimization terminated successfully.,True,275,45111,725,43,12
6PWH,3.29271,-79.30446098345132,Optimization terminated successfully.,True,293,46896,352,28,8
6Q1L,2.85393,-36.07146928898383,Optimization terminated successfully.,True,130,20743,173,14,3
6Q3W,1.26737,-65.2708576747381,Optimization terminated successfully.,True,100,16234,263,26,2
6Q3X,4.56809,-38.68153434013067,Optimization terminated successfully.,True,127,19645,373,26,2
6Q8Z,2.31809,-81.68250193252378,Optimization terminated successfully.,True,144,23822,349,26,2
6QAV,1.28976,-115.06082710769677,Optimization terminated successfully.,True,135,21203,402,32,2
6QGN,13.5289,-52.470475715168384,Maximum number of iterations has been exceeded.,False,500,83646,378,19,14
6QGP,8.87945,-44.402944911456785,Maximum number of iterations has been exceeded.,False,500,78006,459,29,5
6QGU,1.8804,-47.400961305203424,Optimization terminated successfully.,True,248,39234,308,25,5
6QL1,1.63863,-80.46446106108559,Optimization terminated successfully.,True,118,18837,299,23,3
6QL3,5.47816,-92.68274849713944,Optimization terminated successfully.,True,183,30732,450,28,6
6QMH,4.99447,-100.25127957676597,Optimization terminated successfully.,True,428,68338,423,27,7
6R13,1.95989,-61.457220055310245,Optimization terminated successfully.,True,91,15024,266,19,1
6R19,2.03415,-39.12450439032612,Optimization terminated successfully.,True,76,12274,267,19,1
6R1A,2.37456,-71.09906057690233,Optimization terminated successfully.,True,93,15444,294,19,1
6R3S,2.33752,-49.81447929662978,Optimization terminated successfully.,True,75,12458,238,23,3
6R42,6.3402,-80.29604992327543,Maximum number of iterations has been exceeded.,False,500,77931,470,36,11
6R6F,4.3371,-54.84232032099342,Optimization terminated successfully.,True,258,40698,353,24,7
6R6Y,2.00161,-103.96208262579316,Optimization terminated successfully.,True,250,39450,313,24,7
6R9H,6.55172,-33.36706523269148,Maximum number of iterations has been exceeded.,False,500,78688,202,19,7
6RL4,7.79684,-35.891903397752536,Optimization terminated successfully.,True,249,39340,360,22,5
6RM5,1.09938,-52.50773363366635,Optimization terminated successfully.,True,75,12317,182,20,2
6RM7,6.66025,-42.58139250250834,Optimization terminated successfully.,True,96,15646,305,22,5
6RMY,1.81054,-102.93991202348835,Optimization terminated successfully.,True,96,15405,404,28,6
6RUL,2.06043,-63.63925045754298,Optimization terminated successfully.,True,119,19308,272,21,5
6RUM,3.12405,-76.26118582631617,Optimization terminated successfully.,True,115,18572,328,21,5
6RZR,6.3381,-50.58083089391994,Optimization terminated successfully.,True,306,47593,343,21,8
6SAX,7.54966,-97.18034179635515,Optimization terminated successfully.,True,279,42980,748,43,13
6SCZ,3.86446,-120.71457002501849,Optimization terminated successfully.,True,171,27885,437,22,6
6SDL,6.20437,-83.05390207272171,Optimization terminated successfully.,True,319,50914,326,22,7
6SFB,3.92075,-69.32282515138732,Optimization terminated successfully.,True,84,14025,517,30,3
6SFC,2.79404,-56.89316687508961,Optimization terminated successfully.,True,135,21548,443,30,3
6SIQ,5.14139,-31.940069161463246,Optimization terminated successfully.,True,201,31836,243,17,3
6SJJ,5.08116,-70.97082813047993,Optimization terminated successfully.,True,124,20095,298,21,3
6SLR,9.13326,-26.170915624503603,Optimization terminated successfully.,True,203,31665,333,26,2
6SQ1,4.04032,-108.49885651109875,Optimization terminated successfully.,True,161,25236,331,21,2
6SQY,3.63277,-43.52834022981264,Optimization terminated successfully.,True,109,17512,302,20,2
6SRH,0.762633,-60.172500774935806,Optimization terminated successfully.,True,114,19162,361,32,6
6SXC,2.53843,-44.601512570171074,Optimization terminated successfully.,True,203,31731,325,29,8
6SXG,6.58132,-49.75819992135768,Optimization terminated successfully.,True,293,46116,400,29,8
6T3L,10.2108,-89.25113017243253,Optimization terminated successfully.,True,258,44527,739,43,14
6T3P,6.71415,-122.78245086849584,Optimization terminated successfully.,True,140,23274,475,25,8
6T3U,9.33202,-79.11970127858267,Optimization terminated successfully.,True,330,54241,607,43,14
6T53,5.58185,-67.16755702324981,Maximum number of iterations has been exceeded.,False,500,77118,397,28,9
6T5V,3.32619,-49.181233383463095,Optimization terminated successfully.,True,303,46425,390,31,4
6T7K,3.47936,-63.1532440435531,Optimization terminated successfully.,True,423,67080,442,27,6
6TCK,9.17791,-65.5154232105142,Maximum number of iterations has been exceeded.,False,500,78898,460,31,7
6TD8,6.02175,-99.58834154765613,Optimization terminated successfully.,True,329,51135,443,25,8
6TE7,10.6579,-17.01753984291083,Optimization terminated successfully.,True,199,30231,273,22,4
6TET,1.96064,-81.95366350078521,Optimization terminated successfully.,True,313,47936,346,21,4
6TEV,3.08628,-35.53342159056805,Optimization terminated successfully.,True,264,40168,347,22,4
6TH4,6.48701,-63.264117312957275,Optimization terminated successfully.,True,84,13377,351,25,4
6TLL,3.00522,-55.47655820801888,Optimization terminated successfully.,True,63,9747,155,13,0
6TLP,3.66614,-29.13542231824163,Optimization terminated successfully.,True,77,12267,219,11,0
6TTM,2.79126,-37.790958784143136,Optimization terminated successfully.,True,337,52724,314,21,5
6TTN,4.26477,-44.6909576147866,Optimization terminated successfully.,True,300,47590,293,21,5
6TUF,3.5713,-45.77327609233675,Optimization terminated successfully.,True,132,20786,233,15,4
6TW3,6.93542,-57.94739820789478,Maximum number of iterations has been exceeded.,False,500,78957,460,36,11
6TW4,8.7611,-66.62498922297065,Maximum number of iterations has been exceeded.,False,500,81299,466,34,10
6TW9,7.09359,-82.21261660833031,Maximum number of iterations has been exceeded.,False,500,82132,550,37,10
6TYK,3.04916,-31.916078858078585,Optimization terminated successfully.,True,121,19886,153,14,3
6UNS,1.80966,-73.2426652267683,Optimization terminated successfully.,True,108,17227,418,31,3
6UVF,4.54437,-45.483441784140055,Maximum number of iterations has been exceeded.,False,500,76912,514,41,13
6UVJ,2.90817,-41.895981307471146,Optimization terminated successfully.,True,230,36313,229,16,3
6UXI,5.48202,-83.91557591681195,Optimization terminated successfully.,True,267,42788,410,20,7
6UXJ,3.80146,-54.296832726667745,Optimization terminated successfully.,True,295,47380,374,20,7
6UXL,2.77668,-89.13035101661872,Optimization terminated successfully.,True,243,39268,380,20,7
6UYH,2.28634,-80.88180575749439,Optimization terminated successfully.,True,258,39818,341,24,4
6V0U,4.16744,-49.967049611600245,Optimization terminated successfully.,True,187,30316,381,28,6
6V14,5.45564,-48.614529449529215,Optimization terminated successfully.,True,369,57772,375,25,5
6V16,6.80652,-47.93810881615818,Optimization terminated successfully.,True,377,58632,451,25,5
6V1H,4.95563,-48.71216797199109,Optimization terminated successfully.,True,226,35685,401,28,6
6V1U,2.2726,-50.07008771057622,Optimization terminated successfully.,True,304,47582,341,25,5
6V87,1.65551,-78.66365967222353,Optimization terminated successfully.,True,253,39732,355,29,9
6V8M,6.13,-72.66773041408142,Optimization terminated successfully.,True,150,23703,480,21,3
6V8S,5.61003,-83.73694543840492,Optimization terminated successfully.,True,188,29227,274,21,3
6VD1,3.93334,-22.409073838445202,Optimization terminated successfully.,True,238,36488,214,13,4
6VGL,5.77404,-62.86283507770271,Optimization terminated successfully.,True,156,24155,424,23,4
6VIV,5.4631,-41.874768723659315,Optimization terminated successfully.,True,497,75612,401,29,9
6VKK,5.94154,-63.94506864533191,Optimization terminated successfully.,True,113,17652,330,24,3
6VN8,1.24704,-92.95091990901213,Optimization terminated successfully.,True,168,27058,338,26,5
6VNB,4.6,-55.33496892099725,Optimization terminated successfully.,True,203,32252,522,36,3
6VNC,8.77382,-44.97297930339921,Optimization terminated successfully.,True,283,44062,438,36,3
6VNF,3.17133,-60.358702776017495,Optimization terminated successfully.,True,266,41370,490,39,5
6VNG,9.91101,-57.26036962182717,Optimization terminated successfully.,True,418,64970,640,38,5
6VNI,8.76673,-56.16872544693659,Optimization terminated successfully.,True,344,52995,546,38,3
6VNJ,6.43914,-57.24671994010828,Optimization terminated successfully.,True,178,28477,562,31,3
6VNK,6.51077,-94.86790090631106,Optimization terminated successfully.,True,201,30850,425,23,4
6VNL,6.09586,-82.47770748752951,Optimization terminated successfully.,True,189,30498,579,41,6
6VNM,3.9016,-66.25177412744634,Optimization terminated successfully.,True,301,46092,454,31,4
6VNT,7.125,-97.75340933713197,Optimization terminated successfully.,True,120,18949,352,22,8
6VS3,5.95642,-70.35994985649823,Optimization terminated successfully.,True,141,21936,558,36,3
6VXU,1.54202,-56.539486064711014,Optimization terminated successfully.,True,182,28356,321,29,2
6VXV,6.66053,-23.013172547533397,Optimization terminated successfully.,True,144,22616,333,21,2
6VZA,6.06649,-27.968122971852143,Optimization terminated successfully.,True,126,20501,234,21,2
6VZB,5.63313,-26.87267926579497,Optimization terminated successfully.,True,148,23170,235,21,2
6W29,8.12427,-55.31779583800909,Maximum number of iterations has been exceeded.,False,500,79402,382,29,7
6W49,4.1527,-48.43299590168989,Maximum number of iterations has been exceeded.,False,500,78429,355,26,6
6W4C,5.447,-36.303989560425705,Optimization terminated successfully.,True,326,51480,405,29,6
6W4R,5.32108,-52.06813518613441,Optimization terminated successfully.,True,279,43792,473,29,5
6W53,6.19899,-64.0182737203653,Optimization terminated successfully.,True,429,66535,436,33,8
6W56,6.15992,-47.26792547924228,Maximum number of iterations has been exceeded.,False,500,77469,402,31,8
6W6R,8.22943,-40.76673227407048,Maximum number of iterations has been exceeded.,False,500,84630,427,40,15
6W79,4.23082,-69.18712235443056,Maximum number of iterations has been exceeded.,False,500,77134,407,34,9
6W7J,5.78306,-62.85486516918356,Optimization terminated successfully.,True,147,24196,432,29,5
6W7K,6.76744,-60.52778913641026,Optimization terminated successfully.,True,203,32472,428,28,5
6W7V,0.586254,-66.47943622988907,Optimization terminated successfully.,True,65,10332,376,27,1
6W81,5.13179,-54.20125123771739,Maximum number of iterations has been exceeded.,False,500,76462,273,34,9
6WA2,5.35528,-90.38834048471202,Optimization terminated successfully.,True,355,55754,530,34,8
6WAO,5.13007,-65.69399075714504,Optimization terminated successfully.,True,266,43893,355,23,10
6WC8,3.0363,-36.1348833067696,Optimization terminated successfully.,True,125,19962,362,27,2
6WE3,1.54417,-104.20205622507993,Optimization terminated successfully.,True,241,37676,326,21,3
6WE4,7.24813,-49.25289220885802,Optimization terminated successfully.,True,130,20623,261,20,3
6WF4,1.00229,-75.1840108680012,Optimization terminated successfully.,True,89,14832,400,22,2
6WIJ,8.67013,-0.07560801578698556,Maximum number of iterations has been exceeded.,False,500,78249,159,31,8
6WNK,7.45409,-55.834645401351715,Maximum number of iterations has been exceeded.,False,500,77874,665,49,8
6WPE,2.42225,-58.0217855237918,Maximum number of iterations has been exceeded.,False,500,80054,339,30,6
6WQS,6.11757,-115.3281199242614,Optimization terminated successfully.,True,478,76376,422,27,8
6WR1,8.31787,-56.178503965347986,Optimization terminated successfully.,True,76,12450,419,26,1
6WTJ,8.45049,-65.67586409532548,Maximum number of iterations has been exceeded.,False,500,77872,459,29,13
6WTN,3.5846,-72.91982256362144,Optimization terminated successfully.,True,157,23931,373,23,4
6WTO,2.49364,-81.59678436661243,Optimization terminated successfully.,True,205,32444,360,26,5
6WTQ,8.46972,-79.5623491365398,Optimization terminated successfully.,True,254,40002,472,28,5
6WVX,6.59857,-60.06986319005225,Optimization terminated successfully.,True,163,25648,341,30,2
6WW0,11.895,-52.01018854501476,Optimization terminated successfully.,True,93,14644,419,26,1
6WX3,7.35825,-116.08771485112165,Optimization terminated successfully.,True,149,24405,392,22,8
6WXN,11.3943,-67.1216686281901,Maximum number of iterations has been exceeded.,False,500,81146,594,46,10
6WZW,8.17017,-64.18508211675501,Optimization terminated successfully.,True,278,42378,505,39,9
6X0C,4.2704,-71.10818820435941,Optimization terminated successfully.,True,169,27222,369,21,6
6X0P,7.15198,-43.14372766594444,Optimization terminated successfully.,True,115,19100,348,23,5
6X10,6.27862,-76.73203425731663,Optimization terminated successfully.,True,386,60645,326,20,6
6X21,6.98991,-78.0276989163796,Optimization terminated successfully.,True,232,36806,401,24,5
6X4K,8.83027,-46.58797461101958,Optimization terminated successfully.,True,199,31784,311,26,5
6X6R,6.53427,-70.81148356262923,Optimization terminated successfully.,True,267,42880,494,26,5
6X6X,4.67033,-71.18846670859759,Optimization terminated successfully.,True,277,44708,292,17,5
6XAI,6.22913,-46.533073083836726,Optimization terminated successfully.,True,138,21317,207,21,2
6XAK,9.57317,-71.24244082653985,Optimization terminated successfully.,True,338,51829,334,28,4
6XAL,5.73412,-39.42304002608232,Optimization terminated successfully.,True,146,23321,284,21,3
6XAM,7.47222,-31.430435295378295,Optimization terminated successfully.,True,128,19947,280,20,3
6XCT,5.66708,-44.67150455420595,Maximum number of iterations has been exceeded.,False,500,76832,442,35,13
6XCZ,7.62989,-72.7162226028711,Maximum number of iterations has been exceeded.,False,500,80144,614,49,16
6XDB,8.4135,-67.11390575731689,Maximum number of iterations has been exceeded.,False,500,79962,556,40,7
6XDD,8.13463,-61.70301680338925,Maximum number of iterations has been exceeded.,False,500,77469,517,40,8
6XG4,2.12175,-59.99183819149526,Optimization terminated successfully.,True,109,18056,297,21,5
6XG5,1.70741,-78.3469111165936,Optimization terminated successfully.,True,177,28864,292,21,5
6XJR,1.23249,-108.51606039334497,Optimization terminated successfully.,True,192,30337,473,25,8
6XJU,1.59803,-100.14597197255844,Optimization terminated successfully.,True,408,64616,388,30,7
6XK0,2.00421,-43.85942644645965,Optimization terminated successfully.,True,71,11493,297,28,2
6XL4,2.37337,-61.7194355698164,Optimization terminated successfully.,True,114,18864,436,37,7
6XLO,1.76148,-65.4590043884898,Optimization terminated successfully.,True,208,32822,436,34,5
6XM7,8.51617,-115.84531282496832,Optimization terminated successfully.,True,106,17693,468,25,6
6XM8,1.92218,-91.51299056097221,Optimization terminated successfully.,True,73,11716,343,20,4
6XND,7.92297,-132.8767714517178,Maximum number of iterations has been exceeded.,False,500,82132,437,28,10
6XOO,5.48813,-50.17296813931198,Maximum number of iterations has been exceeded.,False,500,83457,496,36,14
6XOP,6.51053,-45.27790129671735,Maximum number of iterations has been exceeded.,False,500,78442,575,41,16
6XOQ,5.8474,-52.14183878226663,Maximum number of iterations has been exceeded.,False,500,78603,577,42,16
6XOY,6.82836,-119.48215816829833,Optimization terminated successfully.,True,201,31618,564,30,8
6XQ5,5.23971,-38.757440153236416,Optimization terminated successfully.,True,87,13871,258,19,2
6XQ7,2.60121,-40.80843037343395,Optimization terminated successfully.,True,73,11788,180,14,1
6XQ8,0.902514,-37.76257020590675,Optimization terminated successfully.,True,88,14311,206,19,2
6XQ9,5.34899,-35.462307540196534,Optimization terminated successfully.,True,90,14309,230,19,2
6XQR,2.11308,-65.4944861897647,Optimization terminated successfully.,True,123,19632,287,20,3
6XRH,6.04653,-126.26996957355318,Optimization terminated successfully.,True,93,14728,563,31,5
6XSQ,2.07311,-65.34117860575256,Optimization terminated successfully.,True,133,21593,421,29,6
6XSY,7.77456,-97.30356004192016,Optimization terminated successfully.,True,140,22029,364,22,8
6XT3,3.15111,-56.71353614626133,Optimization terminated successfully.,True,140,22269,417,30,6
6XTW,7.95038,-67.38691376551714,Maximum number of iterations has been exceeded.,False,500,81146,494,34,10
6XU3,4.92592,-98.78740165881446,Optimization terminated successfully.,True,310,50098,414,20,7
6XUF,5.93187,-48.975265081106414,Optimization terminated successfully.,True,242,37011,183,18,4
6XUJ,5.79272,-31.388017057375347,Optimization terminated successfully.,True,185,28494,246,18,4
6XUM,5.83469,-114.55858205349202,Optimization terminated successfully.,True,218,34986,489,25,8
6XZ2,2.88377,-56.15674887719899,Optimization terminated successfully.,True,94,14629,263,19,2
6XZI,8.8265,-50.03736846955828,Optimization terminated successfully.,True,151,24869,466,30,6
6XZJ,6.83259,-63.867126493302294,Optimization terminated successfully.,True,110,17784,443,30,6
6XZK,9.37771,-52.579354080333594,Optimization terminated successfully.,True,280,44109,408,30,6
6XZV,9.47764,-67.055450635117,Optimization terminated successfully.,True,224,35971,390,30,6
6Y02,5.19066,-49.69422890883972,Maximum number of iterations has been exceeded.,False,500,80349,317,26,8
6Y08,6.04309,-64.34304543763702,Optimization terminated successfully.,True,121,19048,307,17,2
6Y0A,2.33752,-49.81447929662978,Optimization terminated successfully.,True,75,12458,238,23,3
6Y0P,7.96916,-42.01317729112677,Maximum number of iterations has been exceeded.,False,500,77919,357,24,8
6Y2U,4.01867,-38.289410841182814,Optimization terminated successfully.,True,162,25802,272,21,2
6Y4I,5.58505,-98.94432479981904,Optimization terminated successfully.,True,279,44644,484,36,5
6Y6J,7.72645,-54.87957282577308,Optimization terminated successfully.,True,81,13442,498,25,6
6Y6O,4.66538,-33.82951196839502,Optimization terminated successfully.,True,148,23767,235,19,3
6Y7K,4.83201,-62.10814382095073,Optimization terminated successfully.,True,261,42484,387,27,6
6Y7L,6.91405,-58.40334205291139,Optimization terminated successfully.,True,266,41730,396,25,5
6YAU,3.22878,-70.16352774642394,Optimization terminated successfully.,True,442,67394,347,22,9
6YD5,1.13703,-101.80308759794727,Optimization terminated successfully.,True,208,31581,370,20,4
6YD6,8.44412,-63.225390883662236,Optimization terminated successfully.,True,273,43252,372,23,5
6YDY,5.39947,-56.37591635440818,Maximum number of iterations has been exceeded.,False,500,76078,416,28,9
6YE9,4.10936,-87.28616895590065,Optimization terminated successfully.,True,466,73146,331,22,7
6YH5,1.52575,-80.6233877670347,Optimization terminated successfully.,True,265,41696,256,21,5
6YH7,5.88808,-83.73143308514747,Optimization terminated successfully.,True,140,22880,477,29,6
6YH8,5.70481,-75.46856810415936,Optimization terminated successfully.,True,102,15969,342,24,3
6YH9,6.03954,-97.26330933105132,Maximum number of iterations has been exceeded.,False,500,76302,532,35,9
6YHA,0.683043,-77.79047412796999,Optimization terminated successfully.,True,103,15831,207,18,4
6YHB,1.03031,-58.7242025525062,Optimization terminated successfully.,True,161,25156,270,23,3
6YI6,7.96956,-101.66061781374992,Optimization terminated successfully.,True,234,35481,489,36,4
6YJE,8.17037,-25.63726815968697,Optimization terminated successfully.,True,195,30134,355,22,2
6YJF,5.93202,-23.79252509526973,Optimization terminated successfully.,True,184,28687,244,22,2
6YJM,3.10506,-55.72372649121972,Maximum number of iterations has been exceeded.,False,500,79560,389,29,6
6YK1,6.77586,-101.21769665561045,Optimization terminated successfully.,True,129,21076,460,27,5
6YM3,4.30324,-51.297256773441944,Optimization terminated successfully.,True,477,74862,458,33,7
6YM4,9.32894,-66.87599242855761,Optimization terminated successfully.,True,244,39702,373,33,6
6YM5,3.91318,-41.09497687544442,Optimization terminated successfully.,True,332,53352,422,33,6
6YMR,7.12955,-74.85427032273866,Maximum number of iterations has been exceeded.,False,500,77637,399,35,16
6YNT,3.11498,-130.49123962578565,Optimization terminated successfully.,True,99,15389,366,21,2
6YOJ,2.36855,-57.127295336164615,Optimization terminated successfully.,True,183,28007,497,34,4
6YPF,2.7835,-74.62979735603696,Maximum number of iterations has been exceeded.,False,500,79284,270,19,8
6YQ1,9.31701,-67.5668287937254,Optimization terminated successfully.,True,216,33670,523,36,5
6YQZ,5.73562,-53.39057636612787,Optimization terminated successfully.,True,218,33081,259,23,4
6YR9,3.32216,-85.09207859134484,Optimization terminated successfully.,True,192,30406,471,35,5
6YS6,3.46885,-91.5530067229424,Optimization terminated successfully.,True,259,41274,348,16,7
6YSP,4.73971,-78.09380465684822,Optimization terminated successfully.,True,255,40748,360,16,7
6YSX,1.15097,-81.04579322143734,Optimization terminated successfully.,True,203,31982,240,17,3
6YT6,7.51836,-51.843629932132664,Optimization terminated successfully.,True,268,41230,419,31,4
6YVJ,4.44279,-60.02053693399501,Optimization terminated successfully.,True,93,14592,409,30,3
6YVS,3.29877,-55.50390710235143,Optimization terminated successfully.,True,217,32931,373,29,4
6YVY,2.79251,-50.36699565670943,Optimization terminated successfully.,True,98,15357,386,31,3
6YW9,3.58907,-52.881488264679774,Optimization terminated successfully.,True,297,47258,339,16,7
6YX1,5.72705,-47.084245139858695,Optimization terminated successfully.,True,308,48141,277,19,8
6YXV,1.76359,-92.65110133994271,Optimization terminated successfully.,True,221,35766,437,31,7
6YY7,2.76251,-74.9724322164746,Optimization terminated successfully.,True,101,16668,266,20,5
6YY8,7.25419,-61.678167887347115,Maximum number of iterations has been exceeded.,False,500,75821,362,22,4
6YY9,2.15544,-80.89410052689821,Optimization terminated successfully.,True,176,27861,284,21,3
